username,cursornum,primary_id,x,y,z,polar_rad,azimuthal_rad,time
hoge,11,0,967.44653,67.374794,-217.71109,0.0,0.0,18
hoge,11,1,1355.2665,390.33286,-176.84044,0.5426431,4.9274282,19
hoge,11,2,694.2572,788.3421,-219.16174,0.07757501,0.29859483,19
hoge,11,3,615.1491,69.52028,-269.10248,3.0163865,3.2097223,20
hoge,11,4,1369.5382,216.8911,-219.30383,3.6601224,6.033005,20
hoge,11,5,1815.3019,894.8741,-171.92328,3.6663952,2.3959196,20
hoge,11,6,56.062088,77.2399,-294.6158,0.8100157,1.6245602,21
hoge,11,7,295.78857,919.46423,-296.212,0.10188501,4.9159923,21
hoge,11,8,1306.735,1076.9423,-36.143402,0.55117065,3.4073343,21
hoge,11,9,1520.4177,916.3949,-89.30083,0.9755021,5.5342016,22
hoge,11,10,1011.9261,655.9665,-91.14119,1.8309331,0.7476284,22
hoge,11,0,967.44653,67.374794,-217.71109,0.0,0.0,33
hoge,11,1,1355.2665,390.33286,-176.84044,0.5426431,4.9274282,33
hoge,11,2,694.2572,788.3421,-219.16174,0.07757501,0.29859483,33
hoge,11,3,615.1491,69.52028,-269.10248,3.0163865,3.2097223,34
hoge,11,4,1369.5382,216.8911,-219.30383,3.6601224,6.033005,34
hoge,11,5,1815.3019,894.8741,-171.92328,3.6663952,2.3959196,34
hoge,11,6,56.062088,77.2399,-294.6158,0.8100157,1.6245602,35
hoge,11,7,295.78857,919.46423,-296.212,0.10188501,4.9159923,35
hoge,11,8,1306.735,1076.9423,-36.143402,0.55117065,3.4073343,36
hoge,11,9,1520.4177,916.3949,-89.30083,0.9755021,5.5342016,36
hoge,11,10,1011.9261,655.9665,-91.14119,1.8309331,0.7476284,36
hoge,11,0,967.44653,67.374794,-217.71109,0.0,0.0,49
hoge,11,1,1355.2665,390.33286,-176.84044,0.5426431,4.9274282,49
hoge,11,2,694.2572,788.3421,-219.16174,0.07757501,0.29859483,49
hoge,11,3,615.1491,69.52028,-269.10248,3.0163865,3.2097223,49
hoge,11,4,1369.5382,216.8911,-219.30383,3.6601224,6.033005,49
hoge,11,5,1815.3019,894.8741,-171.92328,3.6663952,2.3959196,49
hoge,11,6,56.062088,77.2399,-294.6158,0.8100157,1.6245602,50
hoge,11,7,295.78857,919.46423,-296.212,0.10188501,4.9159923,50
hoge,11,8,1306.735,1076.9423,-36.143402,0.55117065,3.4073343,50
hoge,11,9,1520.4177,916.3949,-89.30083,0.9755021,5.5342016,50
hoge,11,10,1011.9261,655.9665,-91.14119,1.8309331,0.7476284,50
hoge,11,0,967.44653,67.374794,-217.71109,0.0,0.0,65
hoge,11,1,1355.2665,390.33286,-176.84044,0.5426431,4.9274282,65
hoge,11,2,694.2572,788.3421,-219.16174,0.07757501,0.29859483,65
hoge,11,3,615.1491,69.52028,-269.10248,3.0163865,3.2097223,65
hoge,11,4,1369.5382,216.8911,-219.30383,3.6601224,6.033005,65
hoge,11,5,1815.3019,894.8741,-171.92328,3.6663952,2.3959196,65
hoge,11,6,56.062088,77.2399,-294.6158,0.8100157,1.6245602,66
hoge,11,7,295.78857,919.46423,-296.212,0.10188501,4.9159923,66
hoge,11,8,1306.735,1076.9423,-36.143402,0.55117065,3.4073343,66
hoge,11,9,1520.4177,916.3949,-89.30083,0.9755021,5.5342016,66
hoge,11,10,1011.9261,655.9665,-91.14119,1.8309331,0.7476284,66
hoge,11,0,967.44653,67.374794,-217.71109,0.0,0.0,82
hoge,11,1,1355.2665,390.33286,-176.84044,0.5426431,4.9274282,82
hoge,11,2,694.2572,788.3421,-219.16174,0.07757501,0.29859483,83
hoge,11,3,615.1491,69.52028,-269.10248,3.0163865,3.2097223,83
hoge,11,4,1369.5382,216.8911,-219.30383,3.6601224,6.033005,83
hoge,11,5,1815.3019,894.8741,-171.92328,3.6663952,2.3959196,83
hoge,11,6,56.062088,77.2399,-294.6158,0.8100157,1.6245602,84
hoge,11,7,295.78857,919.46423,-296.212,0.10188501,4.9159923,84
hoge,11,8,1306.735,1076.9423,-36.143402,0.55117065,3.4073343,84
hoge,11,9,1520.4177,916.3949,-89.30083,0.9755021,5.5342016,84
hoge,11,10,1011.9261,655.9665,-91.14119,1.8309331,0.7476284,85
hoge,11,0,967.44653,67.374794,-217.71109,0.0,0.0,97
hoge,11,1,1355.2665,390.33286,-176.84044,0.5426431,4.9274282,98
hoge,11,2,694.2572,788.3421,-219.16174,0.07757501,0.29859483,98
hoge,11,3,615.1491,69.52028,-269.10248,3.0163865,3.2097223,99
hoge,11,4,1369.5382,216.8911,-219.30383,3.6601224,6.033005,99
hoge,11,5,1815.3019,894.8741,-171.92328,3.6663952,2.3959196,99
hoge,11,6,56.062088,77.2399,-294.6158,0.8100157,1.6245602,100
hoge,11,7,295.78857,919.46423,-296.212,0.10188501,4.9159923,100
hoge,11,8,1306.735,1076.9423,-36.143402,0.55117065,3.4073343,100
hoge,11,9,1520.4177,916.3949,-89.30083,0.9755021,5.5342016,101
hoge,11,10,1011.9261,655.9665,-91.14119,1.8309331,0.7476284,101
hoge,11,0,967.44653,67.374794,-217.71109,0.0,0.0,115
hoge,11,1,1355.2665,390.33286,-176.84044,0.5426431,4.9274282,115
hoge,11,2,694.2572,788.3421,-219.16174,0.07757501,0.29859483,115
hoge,11,3,615.1491,69.52028,-269.10248,3.0163865,3.2097223,116
hoge,11,4,1369.5382,216.8911,-219.30383,3.6601224,6.033005,116
hoge,11,5,1815.3019,894.8741,-171.92328,3.6663952,2.3959196,116
hoge,11,6,56.062088,77.2399,-294.6158,0.8100157,1.6245602,117
hoge,11,7,295.78857,919.46423,-296.212,0.10188501,4.9159923,117
hoge,11,8,1306.735,1076.9423,-36.143402,0.55117065,3.4073343,118
hoge,11,9,1520.4177,916.3949,-89.30083,0.9755021,5.5342016,118
hoge,11,10,1011.9261,655.9665,-91.14119,1.8309331,0.7476284,119
hoge,11,0,967.44653,67.374794,-217.71109,0.0,0.0,131
hoge,11,1,1355.2665,390.33286,-176.84044,0.5426431,4.9274282,132
