username,cursornum,primary_id,x,y,z,polar_rad,azimuthal_rad,time
hoge,11,0,1339.7883,244.85674,-205.06398,0.0,0.0,17
hoge,11,1,84.085236,555.1057,-275.97003,3.7408404,0.7687742,17
hoge,11,2,1657.0114,655.2803,-101.50284,1.9399735,4.251609,17
hoge,11,3,1896.5134,840.4203,-114.24397,5.241102,4.290998,18
hoge,11,4,77.44949,659.21375,-157.79382,3.1678956,4.0481706,18
hoge,11,5,282.1676,34.201126,-57.55786,6.0733037,4.2594666,19
hoge,11,6,1820.2228,337.7407,-286.71783,2.2103477,5.812755,19
hoge,11,7,469.8691,583.75696,-39.773926,0.22584946,1.1849886,19
hoge,11,8,1492.7738,664.18665,-116.16411,5.7417874,5.348706,20
hoge,11,9,1581.9727,827.044,-254.94266,1.2336599,5.4157505,20
hoge,11,10,192.3999,118.13736,-294.56885,0.25165376,3.8404813,20
hoge,11,0,1339.7883,244.85674,-205.06398,0.0,0.0,33
hoge,11,1,84.085236,555.1057,-275.97003,3.7408404,0.7687742,33
hoge,11,2,1657.0114,655.2803,-101.50284,1.9399735,4.251609,33
hoge,11,3,1896.5134,840.4203,-114.24397,5.241102,4.290998,34
hoge,11,4,77.44949,659.21375,-157.79382,3.1678956,4.0481706,34
hoge,11,5,282.1676,34.201126,-57.55786,6.0733037,4.2594666,34
hoge,11,6,1820.2228,337.7407,-286.71783,2.2103477,5.812755,35
hoge,11,7,469.8691,583.75696,-39.773926,0.22584946,1.1849886,35
hoge,11,8,1492.7738,664.18665,-116.16411,5.7417874,5.348706,36
hoge,11,9,1581.9727,827.044,-254.94266,1.2336599,5.4157505,36
hoge,11,10,192.3999,118.13736,-294.56885,0.25165376,3.8404813,37
hoge,11,0,1339.7883,244.85674,-205.06398,0.0,0.0,49
hoge,11,1,84.085236,555.1057,-275.97003,3.7408404,0.7687742,49
hoge,11,2,1657.0114,655.2803,-101.50284,1.9399735,4.251609,49
hoge,11,3,1896.5134,840.4203,-114.24397,5.241102,4.290998,49
hoge,11,4,77.44949,659.21375,-157.79382,3.1678956,4.0481706,49
hoge,11,5,282.1676,34.201126,-57.55786,6.0733037,4.2594666,49
hoge,11,6,1820.2228,337.7407,-286.71783,2.2103477,5.812755,50
hoge,11,7,469.8691,583.75696,-39.773926,0.22584946,1.1849886,50
hoge,11,8,1492.7738,664.18665,-116.16411,5.7417874,5.348706,50
hoge,11,9,1581.9727,827.044,-254.94266,1.2336599,5.4157505,50
hoge,11,10,192.3999,118.13736,-294.56885,0.25165376,3.8404813,50
hoge,11,0,1339.7883,244.85674,-205.06398,0.0,0.0,65
hoge,11,1,84.085236,555.1057,-275.97003,3.7408404,0.7687742,66
hoge,11,2,1657.0114,655.2803,-101.50284,1.9399735,4.251609,66
hoge,11,3,1896.5134,840.4203,-114.24397,5.241102,4.290998,66
hoge,11,4,77.44949,659.21375,-157.79382,3.1678956,4.0481706,66
hoge,11,5,282.1676,34.201126,-57.55786,6.0733037,4.2594666,66
hoge,11,6,1820.2228,337.7407,-286.71783,2.2103477,5.812755,66
hoge,11,7,469.8691,583.75696,-39.773926,0.22584946,1.1849886,66
hoge,11,8,1492.7738,664.18665,-116.16411,5.7417874,5.348706,66
hoge,11,9,1581.9727,827.044,-254.94266,1.2336599,5.4157505,66
hoge,11,10,192.3999,118.13736,-294.56885,0.25165376,3.8404813,66
