username,cursornum,primary_id,x,y,z,polar_rad,azimuthal_rad,time
hoge,21,0,828.5978,357.5094,-24.99179,0.0,0.0,17
hoge,21,1,660.8394,956.28937,-292.32465,5.3057623,0.8316105,17
hoge,21,2,1146.4896,566.06494,-204.15588,0.548779,3.1287835,18
hoge,21,3,1402.4808,325.08728,-200.08582,5.7839837,0.18589856,18
hoge,21,4,395.28992,296.10834,-239.06523,3.1378875,1.3847326,18
hoge,21,5,611.39594,14.05102,-119.5233,3.6310782,2.958725,19
hoge,21,6,1776.6088,684.8589,-161.73856,4.428059,4.6658044,19
hoge,21,7,1690.3955,229.0316,-240.83823,3.7356994,3.4511828,20
hoge,21,8,473.40112,44.734997,-53.906006,5.6720567,2.3343174,20
hoge,21,9,1119.9327,711.0057,-58.61754,0.54915875,4.295307,21
hoge,21,10,1683.1003,519.0601,-176.14163,2.6211262,0.20197801,22
hoge,21,11,1754.3667,974.2975,-178.9147,4.739475,5.7427344,23
hoge,21,12,1895.4995,119.567726,-68.63582,4.5645313,1.0431205,23
hoge,21,13,1193.8855,131.49567,-157.50797,2.8800955,1.7053593,24
hoge,21,14,791.1573,718.79156,-186.66214,0.8503298,2.8015351,24
hoge,21,15,680.77435,1030.2678,-206.67123,4.304951,3.5491147,25
hoge,21,16,241.6467,839.58496,-24.822327,1.2916373,2.4236014,25
hoge,21,17,106.831055,1057.2557,-275.32935,2.9364204,4.8588552,25
hoge,21,18,1125.2242,979.50726,-4.3259583,6.1023626,5.894214,26
hoge,21,19,976.28674,888.08936,-22.921356,6.14474,0.36449945,27
hoge,21,20,488.16675,719.5728,-85.96353,4.67009,5.93809,27
hoge,21,0,828.5978,357.5094,-24.99179,0.0,0.0,34
hoge,21,1,660.8394,956.28937,-292.32465,5.3057623,0.8316105,35
hoge,21,2,1146.4896,566.06494,-204.15588,0.548779,3.1287835,35
hoge,21,3,1402.4808,325.08728,-200.08582,5.7839837,0.18589856,35
hoge,21,4,395.28992,296.10834,-239.06523,3.1378875,1.3847326,35
hoge,21,5,611.39594,14.05102,-119.5233,3.6310782,2.958725,35
hoge,21,6,1776.6088,684.8589,-161.73856,4.428059,4.6658044,36
hoge,21,7,1690.3955,229.0316,-240.83823,3.7356994,3.4511828,36
hoge,21,8,473.40112,44.734997,-53.906006,5.6720567,2.3343174,36
hoge,21,9,1119.9327,711.0057,-58.61754,0.54915875,4.295307,37
hoge,21,10,1683.1003,519.0601,-176.14163,2.6211262,0.20197801,37
hoge,21,11,1754.3667,974.2975,-178.9147,4.739475,5.7427344,38
hoge,21,12,1895.4995,119.567726,-68.63582,4.5645313,1.0431205,39
hoge,21,13,1193.8855,131.49567,-157.50797,2.8800955,1.7053593,39
hoge,21,14,791.1573,718.79156,-186.66214,0.8503298,2.8015351,39
hoge,21,15,680.77435,1030.2678,-206.67123,4.304951,3.5491147,40
hoge,21,16,241.6467,839.58496,-24.822327,1.2916373,2.4236014,40
hoge,21,17,106.831055,1057.2557,-275.32935,2.9364204,4.8588552,40
hoge,21,18,1125.2242,979.50726,-4.3259583,6.1023626,5.894214,42
hoge,21,19,976.28674,888.08936,-22.921356,6.14474,0.36449945,42
hoge,21,20,488.16675,719.5728,-85.96353,4.67009,5.93809,42
hoge,21,0,828.5978,357.5094,-24.99179,0.0,0.0,50
hoge,21,1,660.8394,956.28937,-292.32465,5.3057623,0.8316105,50
hoge,21,2,1146.4896,566.06494,-204.15588,0.548779,3.1287835,50
hoge,21,3,1402.4808,325.08728,-200.08582,5.7839837,0.18589856,51
hoge,21,4,395.28992,296.10834,-239.06523,3.1378875,1.3847326,51
hoge,21,5,611.39594,14.05102,-119.5233,3.6310782,2.958725,51
hoge,21,6,1776.6088,684.8589,-161.73856,4.428059,4.6658044,52
hoge,21,7,1690.3955,229.0316,-240.83823,3.7356994,3.4511828,52
hoge,21,8,473.40112,44.734997,-53.906006,5.6720567,2.3343174,52
hoge,21,9,1119.9327,711.0057,-58.61754,0.54915875,4.295307,53
hoge,21,10,1683.1003,519.0601,-176.14163,2.6211262,0.20197801,53
hoge,21,11,1754.3667,974.2975,-178.9147,4.739475,5.7427344,55
hoge,21,12,1895.4995,119.567726,-68.63582,4.5645313,1.0431205,55
hoge,21,13,1193.8855,131.49567,-157.50797,2.8800955,1.7053593,55
hoge,21,14,791.1573,718.79156,-186.66214,0.8503298,2.8015351,56
hoge,21,15,680.77435,1030.2678,-206.67123,4.304951,3.5491147,56
hoge,21,16,241.6467,839.58496,-24.822327,1.2916373,2.4236014,56
hoge,21,17,106.831055,1057.2557,-275.32935,2.9364204,4.8588552,57
hoge,21,18,1125.2242,979.50726,-4.3259583,6.1023626,5.894214,57
hoge,21,19,976.28674,888.08936,-22.921356,6.14474,0.36449945,58
hoge,21,20,488.16675,719.5728,-85.96353,4.67009,5.93809,58
hoge,21,0,828.5978,357.5094,-24.99179,0.0,0.0,67
hoge,21,1,660.8394,956.28937,-292.32465,5.3057623,0.8316105,68
