username,cursornum,primary_id,x,y,z,polar_rad,azimuthal_rad,time
hoge,21,0,1621.8395,595.3817,-268.1081,0.0,0.0,16
hoge,21,1,1666.5536,300.1823,-103.10005,5.2993693,4.2464056,17
hoge,21,2,1186.5809,826.921,-130.55,2.493473,2.749096,17
hoge,21,3,1908.543,586.35706,-245.06131,3.0936518,2.9451005,17
hoge,21,4,1333.1123,221.19688,-273.51587,5.0628057,6.066358,17
hoge,21,5,303.65674,612.0536,-132.67863,5.585599,4.3687224,18
hoge,21,6,815.3297,619.6014,-270.44537,0.93969995,1.3447121,18
hoge,21,7,407.8316,964.2018,-156.03166,0.52460307,5.2701116,18
hoge,21,8,810.83,855.03674,-234.1727,5.686063,5.420339,18
hoge,21,9,1910.2917,969.19495,-24.869812,3.032379,2.0833635,18
hoge,21,10,459.72772,384.52274,-117.81845,5.7496266,2.4437768,19
hoge,21,11,1381.1035,1001.62164,-259.18314,2.076637,3.2413304,19
hoge,21,12,1309.0947,358.58585,-229.03455,2.9732566,1.1356038,19
hoge,21,13,479.08597,126.041275,-237.98819,1.6365025,5.428822,19
hoge,21,14,1240.4009,714.53394,-299.01398,5.0477552,1.70142,19
hoge,21,15,1737.8478,695.6156,-214.27522,4.631304,2.1802006,20
hoge,21,16,1886.346,203.27563,-8.342041,2.1415458,3.7317135,20
hoge,21,17,644.9785,875.04486,-138.76852,4.9904346,5.8195205,20
hoge,21,18,141.00848,964.2043,-88.74866,0.7723129,4.270899,20
hoge,21,19,438.23514,220.88351,-5.2006836,4.230922,1.8060822,20
hoge,21,20,820.2517,206.90273,-190.78598,4.192678,6.023163,20
hoge,21,0,1621.8395,595.3817,-268.1081,0.0,0.0,32
hoge,21,1,1666.5536,300.1823,-103.10005,5.2993693,4.2464056,32
hoge,21,2,1186.5809,826.921,-130.55,2.493473,2.749096,33
hoge,21,3,1908.543,586.35706,-245.06131,3.0936518,2.9451005,33
hoge,21,4,1333.1123,221.19688,-273.51587,5.0628057,6.066358,35
hoge,21,5,303.65674,612.0536,-132.67863,5.585599,4.3687224,35
hoge,21,6,815.3297,619.6014,-270.44537,0.93969995,1.3447121,36
hoge,21,7,407.8316,964.2018,-156.03166,0.52460307,5.2701116,36
hoge,21,8,810.83,855.03674,-234.1727,5.686063,5.420339,36
hoge,21,9,1910.2917,969.19495,-24.869812,3.032379,2.0833635,37
hoge,21,10,459.72772,384.52274,-117.81845,5.7496266,2.4437768,37
hoge,21,11,1381.1035,1001.62164,-259.18314,2.076637,3.2413304,38
hoge,21,12,1309.0947,358.58585,-229.03455,2.9732566,1.1356038,38
hoge,21,13,479.08597,126.041275,-237.98819,1.6365025,5.428822,39
hoge,21,14,1240.4009,714.53394,-299.01398,5.0477552,1.70142,39
hoge,21,15,1737.8478,695.6156,-214.27522,4.631304,2.1802006,39
hoge,21,16,1886.346,203.27563,-8.342041,2.1415458,3.7317135,40
hoge,21,17,644.9785,875.04486,-138.76852,4.9904346,5.8195205,40
hoge,21,18,141.00848,964.2043,-88.74866,0.7723129,4.270899,40
hoge,21,19,438.23514,220.88351,-5.2006836,4.230922,1.8060822,41
hoge,21,20,820.2517,206.90273,-190.78598,4.192678,6.023163,41
hoge,21,0,1621.8395,595.3817,-268.1081,0.0,0.0,49
hoge,21,1,1666.5536,300.1823,-103.10005,5.2993693,4.2464056,49
hoge,21,2,1186.5809,826.921,-130.55,2.493473,2.749096,50
hoge,21,3,1908.543,586.35706,-245.06131,3.0936518,2.9451005,50
hoge,21,4,1333.1123,221.19688,-273.51587,5.0628057,6.066358,50
hoge,21,5,303.65674,612.0536,-132.67863,5.585599,4.3687224,51
hoge,21,6,815.3297,619.6014,-270.44537,0.93969995,1.3447121,51
hoge,21,7,407.8316,964.2018,-156.03166,0.52460307,5.2701116,51
hoge,21,8,810.83,855.03674,-234.1727,5.686063,5.420339,52
hoge,21,9,1910.2917,969.19495,-24.869812,3.032379,2.0833635,52
hoge,21,10,459.72772,384.52274,-117.81845,5.7496266,2.4437768,53
hoge,21,11,1381.1035,1001.62164,-259.18314,2.076637,3.2413304,53
hoge,21,12,1309.0947,358.58585,-229.03455,2.9732566,1.1356038,53
hoge,21,13,479.08597,126.041275,-237.98819,1.6365025,5.428822,54
hoge,21,14,1240.4009,714.53394,-299.01398,5.0477552,1.70142,54
hoge,21,15,1737.8478,695.6156,-214.27522,4.631304,2.1802006,54
hoge,21,16,1886.346,203.27563,-8.342041,2.1415458,3.7317135,55
hoge,21,17,644.9785,875.04486,-138.76852,4.9904346,5.8195205,55
hoge,21,18,141.00848,964.2043,-88.74866,0.7723129,4.270899,55
hoge,21,19,438.23514,220.88351,-5.2006836,4.230922,1.8060822,56
hoge,21,20,820.2517,206.90273,-190.78598,4.192678,6.023163,56
hoge,21,0,1621.8395,595.3817,-268.1081,0.0,0.0,65
hoge,21,1,1666.5536,300.1823,-103.10005,5.2993693,4.2464056,65
hoge,21,2,1186.5809,826.921,-130.55,2.493473,2.749096,67
hoge,21,3,1908.543,586.35706,-245.06131,3.0936518,2.9451005,67
hoge,21,4,1333.1123,221.19688,-273.51587,5.0628057,6.066358,67
hoge,21,5,303.65674,612.0536,-132.67863,5.585599,4.3687224,67
hoge,21,6,815.3297,619.6014,-270.44537,0.93969995,1.3447121,67
hoge,21,7,407.8316,964.2018,-156.03166,0.52460307,5.2701116,68
hoge,21,8,810.83,855.03674,-234.1727,5.686063,5.420339,68
hoge,21,9,1910.2917,969.19495,-24.869812,3.032379,2.0833635,68
hoge,21,10,459.72772,384.52274,-117.81845,5.7496266,2.4437768,68
hoge,21,11,1381.1035,1001.62164,-259.18314,2.076637,3.2413304,68
hoge,21,12,1309.0947,358.58585,-229.03455,2.9732566,1.1356038,68
hoge,21,13,479.08597,126.041275,-237.98819,1.6365025,5.428822,68
hoge,21,14,1240.4009,714.53394,-299.01398,5.0477552,1.70142,68
hoge,21,15,1737.8478,695.6156,-214.27522,4.631304,2.1802006,68
hoge,21,16,1886.346,203.27563,-8.342041,2.1415458,3.7317135,68
hoge,21,17,644.9785,875.04486,-138.76852,4.9904346,5.8195205,69
hoge,21,18,141.00848,964.2043,-88.74866,0.7723129,4.270899,69
hoge,21,19,438.23514,220.88351,-5.2006836,4.230922,1.8060822,69
hoge,21,20,820.2517,206.90273,-190.78598,4.192678,6.023163,69
hoge,21,0,1621.8395,595.3817,-268.1081,0.0,0.0,82
hoge,21,1,1666.5536,300.1823,-103.10005,5.2993693,4.2464056,82
hoge,21,2,1186.5809,826.921,-130.55,2.493473,2.749096,82
hoge,21,3,1908.543,586.35706,-245.06131,3.0936518,2.9451005,83
hoge,21,4,1333.1123,221.19688,-273.51587,5.0628057,6.066358,83
hoge,21,5,303.65674,612.0536,-132.67863,5.585599,4.3687224,83
hoge,21,6,815.3297,619.6014,-270.44537,0.93969995,1.3447121,84
hoge,21,7,407.8316,964.2018,-156.03166,0.52460307,5.2701116,85
hoge,21,8,810.83,855.03674,-234.1727,5.686063,5.420339,85
hoge,21,9,1910.2917,969.19495,-24.869812,3.032379,2.0833635,85
hoge,21,10,459.72772,384.52274,-117.81845,5.7496266,2.4437768,85
hoge,21,11,1381.1035,1001.62164,-259.18314,2.076637,3.2413304,85
hoge,21,12,1309.0947,358.58585,-229.03455,2.9732566,1.1356038,85
hoge,21,13,479.08597,126.041275,-237.98819,1.6365025,5.428822,85
hoge,21,14,1240.4009,714.53394,-299.01398,5.0477552,1.70142,85
hoge,21,15,1737.8478,695.6156,-214.27522,4.631304,2.1802006,86
hoge,21,16,1886.346,203.27563,-8.342041,2.1415458,3.7317135,86
hoge,21,17,644.9785,875.04486,-138.76852,4.9904346,5.8195205,86
hoge,21,18,141.00848,964.2043,-88.74866,0.7723129,4.270899,86
hoge,21,19,438.23514,220.88351,-5.2006836,4.230922,1.8060822,87
hoge,21,20,820.2517,206.90273,-190.78598,4.192678,6.023163,87
hoge,21,0,1621.8395,595.3817,-268.1081,0.0,0.0,98
hoge,21,1,1666.5536,300.1823,-103.10005,5.2993693,4.2464056,99
hoge,21,2,1186.5809,826.921,-130.55,2.493473,2.749096,99
hoge,21,3,1908.543,586.35706,-245.06131,3.0936518,2.9451005,99
hoge,21,4,1333.1123,221.19688,-273.51587,5.0628057,6.066358,99
hoge,21,5,303.65674,612.0536,-132.67863,5.585599,4.3687224,100
hoge,21,6,815.3297,619.6014,-270.44537,0.93969995,1.3447121,100
hoge,21,7,407.8316,964.2018,-156.03166,0.52460307,5.2701116,100
hoge,21,8,810.83,855.03674,-234.1727,5.686063,5.420339,100
hoge,21,9,1910.2917,969.19495,-24.869812,3.032379,2.0833635,100
hoge,21,10,459.72772,384.52274,-117.81845,5.7496266,2.4437768,101
hoge,21,11,1381.1035,1001.62164,-259.18314,2.076637,3.2413304,101
hoge,21,12,1309.0947,358.58585,-229.03455,2.9732566,1.1356038,101
hoge,21,13,479.08597,126.041275,-237.98819,1.6365025,5.428822,101
hoge,21,14,1240.4009,714.53394,-299.01398,5.0477552,1.70142,101
hoge,21,15,1737.8478,695.6156,-214.27522,4.631304,2.1802006,102
hoge,21,16,1886.346,203.27563,-8.342041,2.1415458,3.7317135,102
hoge,21,17,644.9785,875.04486,-138.76852,4.9904346,5.8195205,102
hoge,21,18,141.00848,964.2043,-88.74866,0.7723129,4.270899,102
hoge,21,19,438.23514,220.88351,-5.2006836,4.230922,1.8060822,102
