username,cursornum,primary_id,x,y,z,polar_rad,azimuthal_rad,time
hoge,21,0,857.4877,1080.0,-300.0,0.0,0.0,18
hoge,21,1,1737.5981,0.0,-300.0,0.47557825,2.9513106,18
hoge,21,2,436.013,596.8495,-300.0,5.688484,0.59923446,19
hoge,21,3,829.70374,0.0,0.0,4.6285515,2.465739,19
hoge,21,4,844.25195,570.96204,-300.0,1.3247471,4.3247304,20
hoge,21,5,363.07773,846.0629,-300.0,0.68669647,0.7880471,20
hoge,21,6,1016.92114,0.0,-300.0,1.8688388,4.8193316,20
hoge,21,7,1703.3793,421.06232,0.0,3.0569613,2.6612358,21
hoge,21,8,1920.0,0.0,0.0,5.0887523,1.2902607,21
hoge,21,9,1614.6649,472.94327,-300.0,1.5012976,1.607437,21
hoge,21,10,1479.7795,1013.5042,0.0,4.591379,3.8309867,22
hoge,21,11,1114.6628,671.5709,-300.0,5.579071,1.5898011,22
hoge,21,12,1260.0977,603.32526,-300.0,5.8976793,1.4657041,22
hoge,21,13,1484.267,1080.0,0.0,5.0669737,0.106169,23
hoge,21,14,343.68604,1080.0,0.0,4.846089,5.358373,23
hoge,21,15,986.68555,742.0869,-300.0,1.5014557,4.1897306,24
hoge,21,16,530.08734,88.8658,0.0,3.2872367,1.0791327,24
hoge,21,17,222.16464,1066.3,0.0,3.5979273,0.6477942,24
hoge,21,18,1695.6252,581.1386,-300.0,2.0089197,0.031006187,25
hoge,21,19,1423.8242,278.238,0.0,3.683936,1.5473118,25
hoge,21,20,1712.6624,604.20874,0.0,3.6379542,1.9692861,25
hoge,21,0,864.77136,1073.7216,-299.64252,0.0,0.0,34
hoge,21,1,1730.3258,4.1747494,-295.2794,0.47557825,2.9513106,34
hoge,21,2,438.11337,588.95874,0.0,5.688484,0.59923446,34
hoge,21,3,830.15247,1080.0,-9.612345,4.6285515,2.465739,34
hoge,21,4,844.8868,572.8539,-290.58636,1.3247471,4.3247304,34
hoge,21,5,363.59164,838.8713,-293.627,0.68669647,0.7880471,34
hoge,21,6,1014.6102,1080.0,-290.91275,1.8688388,4.8193316,36
hoge,21,7,1712.7358,418.8611,-300.0,3.0569613,2.6612358,36
hoge,21,8,1918.385,1080.0,-8.811734,5.0887523,1.2902607,36
hoge,21,9,1614.4532,472.71518,-290.3822,1.5012976,1.607437,36
hoge,21,10,1479.9159,1012.7099,-9.589017,4.591379,3.8309867,36
hoge,21,11,1109.6185,665.93896,0.0,5.579071,1.5898011,36
hoge,21,12,1254.9435,595.89264,0.0,5.8976793,1.4657041,36
hoge,21,13,1486.7799,1077.3198,-8.893851,5.0669737,0.106169,36
hoge,21,14,345.28506,0.0,-9.482712,4.846089,5.358373,36
hoge,21,15,986.74365,742.39105,-290.38214,1.5014557,4.1897306,36
hoge,21,16,532.15,98.10074,-1.7492913,3.2872367,1.0791327,36
hoge,21,17,220.38484,1074.5857,-4.558379,3.5979273,0.6477942,36
hoge,21,18,1692.3807,584.11554,-291.44373,2.0089197,0.031006187,36
hoge,21,19,1428.9365,284.4585,-5.269525,3.683936,1.5473118,36
hoge,21,20,1720.0833,607.8937,-4.89385,3.6379542,1.9692861,36
hoge,21,0,877.99524,1062.812,-297.24533,0.0,0.0,51
hoge,21,1,1717.9106,10.949303,-285.29916,0.47557825,2.9513106,51
hoge,21,2,442.43518,574.0286,-7.619035,5.688484,0.59923446,51
hoge,21,3,829.19934,0.0,-26.896065,4.6285515,2.465739,51
hoge,21,4,845.43744,574.6207,-273.37558,1.3247471,4.3247304,51
hoge,21,5,364.68118,827.18414,-280.90463,0.68669647,0.7880471,51
hoge,21,6,1009.3719,1074.879,-275.22928,1.8688388,4.8193316,51
