username,cursornum,primary_id,x,y,z,polar_rad,azimuthal_rad,time
hoge,51,0,538.5365,980.394,-51.06543,0.0,0.0,15
hoge,51,1,98.422966,40.044846,-252.49577,1.8672509,5.901068,15
hoge,51,2,588.636,807.3338,-262.06262,5.2244215,0.6521557,16
hoge,51,3,1362.2117,559.0847,-125.81398,3.1195605,1.8452722,16
hoge,51,4,1402.197,787.5532,-67.64908,3.2207994,4.479725,17
hoge,51,5,1721.8926,18.086628,-174.62122,0.50006574,4.7577257,18
hoge,51,6,1631.1215,767.57947,-1.1335449,6.2804575,1.2931784,18
hoge,51,7,760.7794,185.8619,-289.57614,0.58717495,4.710184,18
hoge,51,8,808.3692,242.16884,-233.80666,3.6009102,4.401015,19
hoge,51,9,1074.5334,256.78674,-212.74129,1.9474056,3.1901574,19
hoge,51,10,447.26474,567.3063,-243.13626,5.3026175,3.5204976,20
hoge,51,11,217.69809,1044.5924,-154.32713,2.1834655,1.8154479,20
hoge,51,12,763.0442,916.31506,-59.77484,3.1472056,2.4441915,20
hoge,51,13,1818.613,747.9658,-162.57875,5.121187,1.1057643,20
hoge,51,14,1174.3201,579.0106,-164.79475,3.4228942,2.7245185,20
hoge,51,15,1664.8939,766.3371,-3.398285,2.3122232,0.052617863,20
hoge,51,16,82.76665,722.40027,-221.64937,4.414899,4.9971743,20
hoge,51,17,514.76495,405.0658,-146.66428,2.7738795,4.8141794,21
hoge,51,18,1493.6597,1024.8832,-162.86053,0.7193194,4.351689,21
hoge,51,19,878.06604,34.69004,-152.92593,5.8895407,3.3494847,21
hoge,51,20,848.4944,55.35191,-194.61533,5.020772,1.1833392,22
hoge,51,21,989.4715,1039.1454,-28.36493,6.0486746,5.089924,22
hoge,51,22,728.5445,1014.6382,-269.519,6.2179866,0.40333584,22
hoge,51,23,1396.0076,784.74756,-294.01614,0.2313461,3.0484102,23
hoge,51,24,1160.2356,356.7064,-224.20587,2.9471948,0.10766291,24
hoge,51,25,1470.4108,470.94476,-191.60577,6.0058727,4.2730613,24
hoge,51,26,430.95178,889.1361,-293.2017,1.3484029,4.7612596,24
hoge,51,27,1691.4954,74.92356,-8.617371,4.376202,1.2462478,24
hoge,51,28,266.70535,281.77628,-109.74153,1.8765926,2.6837995,24
hoge,51,29,1574.4817,823.1995,-25.965363,3.7212827,3.3826866,25
hoge,51,30,1154.3527,674.5783,-225.25966,1.9055765,3.8785563,25
hoge,51,31,957.86945,273.23334,-204.72559,1.722884,4.8386626,25
hoge,51,32,1875.8063,485.52002,-0.10534668,5.269517,0.68166834,26
hoge,51,33,1454.9583,445.71445,-34.050476,0.32491332,5.1056666,26
hoge,51,34,1463.3455,754.3196,-227.96622,5.3877487,4.5596604,26
hoge,51,35,858.96045,383.5285,-198.62749,0.31693444,1.9188606,27
hoge,51,36,528.66626,882.81134,-77.71242,4.448075,5.0505295,27
hoge,51,37,664.4925,23.34114,-244.89893,2.011703,5.0560627,28
