username,cursornum,primary_id,x,y,z,polar_rad,azimuthal_rad,time
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,16
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,16
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,17
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,17
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,17
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,17
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,17
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,17
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,17
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,17
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,17
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,33
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,33
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,33
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,33
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,33
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,33
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,33
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,33
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,34
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,34
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,34
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,50
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,50
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,50
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,50
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,50
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,50
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,50
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,50
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,50
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,50
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,50
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,67
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,69
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,69
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,69
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,69
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,69
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,70
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,71
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,71
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,71
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,71
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,84
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,84
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,85
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,85
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,85
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,86
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,86
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,86
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,87
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,87
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,87
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,100
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,100
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,101
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,101
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,101
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,102
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,102
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,102
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,103
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,103
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,104
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,117
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,117
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,118
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,118
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,118
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,119
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,119
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,120
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,120
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,120
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,120
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,132
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,132
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,133
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,133
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,133
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,133
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,133
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,133
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,133
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,133
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,133
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,149
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,149
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,149
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,149
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,149
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,149
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,149
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,149
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,150
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,150
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,150
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,166
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,166
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,166
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,166
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,166
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,166
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,166
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,166
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,166
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,166
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,167
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,182
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,183
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,183
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,183
hoge,11,4,1106.6078,172.9123,-101.168,5.775439,4.0664115,183
hoge,11,5,701.4346,819.41254,-164.40845,0.8311824,0.21365027,184
hoge,11,6,407.63718,786.049,-48.807587,3.0884786,5.988428,184
hoge,11,7,920.58093,131.1572,-161.29688,1.2492166,3.2855048,184
hoge,11,8,854.38525,626.3319,-11.320679,4.9382305,1.962424,185
hoge,11,9,776.2763,433.43735,-161.90436,4.7816095,1.5001216,185
hoge,11,10,605.16724,919.6058,-63.248077,5.3294635,0.15011291,185
hoge,11,0,584.08057,233.78438,-255.05765,0.0,0.0,199
hoge,11,1,332.49365,169.00427,-290.60205,4.4942393,0.23992981,199
hoge,11,2,166.3646,910.4006,-64.5482,1.6992362,1.9412352,200
hoge,11,3,1609.9044,260.3884,-237.0126,0.48675692,1.862701,200
